town,town_norm,eohlc_category,governing_body,deadline_year,in_old_roster,massgis_status,adoption_date
Abington,abington,Commuter Rail,Select Board,2024,1,Compliant,2024-07-24
Acton,acton,Commuter Rail,Select Board,2024,1,Compliant,2024-09-30
Amesbury,amesbury,Adjacent community,City Council,2024,1,Compliant,2024-09-05
Andover,andover,Commuter Rail,Select Board,2024,1,Compliant,2024-09-13
Arlington,arlington,Adjacent community,Select Board,2023,1,Compliant,2023-11-08
Ashburnham,ashburnham,Adjacent small town,Select Board,2024,1,Compliant,2025-07-24
Ashby,ashby,Adjacent small town,Select Board,2024,1,Compliant,2025-04-02
Ashland,ashland,Commuter Rail,Select Board,2024,1,Compliant,2024-12-02
Attleboro,attleboro,Commuter Rail,City Council,2024,1,Compliant,2024-12-19
Auburn,auburn,Adjacent community,Select Board,2024,1,Compliant,2023-08-09
Ayer,ayer,Commuter Rail,Select Board,2024,1,Compliant,2024-08-26
Bedford,bedford,Adjacent community,Select Board,2025,1,Compliant,
Bellingham,bellingham,Adjacent community,Select Board,2024,1,Compliant,2024-12-09
Belmont,belmont,Commuter Rail,Select Board,2025,1,Compliant,
Berkley,berkley,Adjacent small town,Select Board,2024,1,Compliant,2025-10-09
Beverly,beverly,Commuter Rail,City Council,2025,1,Compliant,
Billerica,billerica,Commuter Rail,Select Board,2025,1,Compliant,2024-12-18
Bourne,bourne,Adjacent small town,Select Board,2024,1,Compliant,2025-08-19
Boxborough,boxborough,Adjacent small town,Select Board,2024,1,,
Boxford,boxford,Adjacent small town,Select Board,2024,1,Compliant,2025-12-19
Braintree,braintree,Rapid Transit,City Council,2023,1,Compliant,2023-12-14
Bridgewater,bridgewater,Commuter Rail,City Council,2024,1,Compliant,2024-04-30
Brockton,brockton,Commuter Rail,City Council,2025,1,Compliant,
Brookline,brookline,Rapid Transit,Select Board,2023,1,Compliant,2024-07-02
Burlington,burlington,Adjacent community,Select Board,2025,1,Compliant,2025-02-14
Cambridge,cambridge,Rapid Transit,City Council,2023,1,Compliant,2023-12-26
Canton,canton,Commuter Rail,Select Board,2025,1,Compliant,2025-01-22
Carlisle,carlisle,Adjacent small town,Select Board,2024,1,Compliant,2025-11-12
Carver,carver,Adjacent small town,Select Board,2024,1,,
Chelmsford,chelmsford,Adjacent community,Select Board,2024,1,Compliant,
Chelsea,chelsea,Rapid Transit,City Council,2023,1,Compliant,2023-12-08
Cohasset,cohasset,Commuter Rail,Select Board,2024,1,Compliant,2025-01-17
Concord,concord,Commuter Rail,Select Board,2024,1,Compliant,2026-05-19
Danvers,danvers,Adjacent community,Select Board,2025,1,Compliant,2024-07-19
Dedham,dedham,Commuter Rail,Select Board,2025,1,Compliant,2023-12-20
Dover,dover,Adjacent small town,Select Board,2024,1,Compliant,2025-05-09
Dracut,dracut,Adjacent community,Select Board,2024,1,,
Duxbury,duxbury,Adjacent community,Select Board,2024,1,Compliant,2025-06-06
East Bridgewater,eastbridgewater,Adjacent community,Select Board,2024,1,,
Easton,easton,Adjacent community,Select Board,2024,1,Compliant,2024-05-23
Essex,essex,Adjacent small town,Select Board,2024,1,Compliant,2025-12-08
Everett,everett,Rapid Transit,City Council,2023,1,,
Fall River,fallriver,Commuter Rail,City Council,2024,0,Compliant,2024-10-02
Fitchburg,fitchburg,Commuter Rail,City Council,2024,1,Compliant,
Foxborough,foxborough,Commuter Rail,Select Board,2024,1,Compliant,2024-12-12
Framingham,framingham,Commuter Rail,City Council,2024,1,Compliant,
Franklin,franklin,Commuter Rail,City Council,2024,1,Compliant,2026-01-27
Freetown,freetown,Commuter Rail,Select Board,2024,1,Compliant,2026-02-12
Georgetown,georgetown,Adjacent community,Select Board,2024,1,Compliant,
Gloucester,gloucester,Commuter Rail,City Council,2024,1,Compliant,2024-10-09
Grafton,grafton,Adjacent community,Select Board,2024,1,Compliant,2023-10-20
Groton,groton,Adjacent small town,Select Board,2024,1,Compliant,2025-05-15
Groveland,groveland,Adjacent small town,Select Board,2024,1,Compliant,2025-06-18
Halifax,halifax,Commuter Rail,Select Board,2024,1,,
Hamilton,hamilton,Commuter Rail,Select Board,2024,1,Compliant,2025-05-07
Hanover,hanover,Adjacent community,Select Board,2024,1,Compliant,2025-12-17
Hanson,hanson,Commuter Rail,Select Board,2024,1,Compliant,
Harvard,harvard,Adjacent small town,Select Board,2024,1,Compliant,2024-07-18
Haverhill,haverhill,Commuter Rail,City Council,2024,1,Compliant,2023-09-14
Hingham,hingham,Commuter Rail,Select Board,2025,1,Compliant,2024-09-26
Holbrook,holbrook,Commuter Rail,Select Board,2025,1,,
Holden,holden,Adjacent community,Select Board,2024,1,,
Holliston,holliston,Adjacent community,Select Board,2024,1,Compliant,2024-12-02
Hopkinton,hopkinton,Adjacent community,Select Board,2024,1,Compliant,2026-06-02
Hull,hull,Adjacent community,Select Board,2025,1,Compliant,2024-09-25
Ipswich,ipswich,Commuter Rail,Select Board,2024,1,Compliant,2024-08-02
Kingston,kingston,Commuter Rail,Select Board,2024,1,Compliant,2024-08-15
Lakeville,lakeville,Adjacent small town,Select Board,2024,1,Compliant,
Lancaster,lancaster,Adjacent small town,Select Board,2024,1,,
Lawrence,lawrence,Commuter Rail,City Council,2024,1,Compliant,2024-12-20
Leicester,leicester,Adjacent small town,Select Board,2024,1,Compliant,2025-11-05
Leominster,leominster,Commuter Rail,City Council,2024,1,Compliant,2024-12-13
Lexington,lexington,Adjacent community,Select Board,2025,1,Compliant,2023-06-06
Lincoln,lincoln,Commuter Rail,Select Board,2025,1,Compliant,2024-01-24
Littleton,littleton,Commuter Rail,Select Board,2024,1,Compliant,2024-07-11
Lowell,lowell,Commuter Rail,City Council,2024,1,Compliant,2023-07-11
Lunenburg,lunenburg,Adjacent small town,Select Board,2024,1,Compliant,2025-12-19
Lynn,lynn,Commuter Rail,City Council,2025,1,Compliant,2025-03-05
Lynnfield,lynnfield,Adjacent community,Select Board,2024,1,Compliant,2024-11-18
Malden,malden,Rapid Transit,City Council,2023,1,Compliant,2023-12-12
Manchester,manchester,Commuter Rail,Select Board,2024,1,Compliant,
Mansfield,mansfield,Commuter Rail,Select Board,2024,1,Compliant,2025-09-04
Marblehead,marblehead,Adjacent community,Select Board,2025,1,,
Marlborough,marlborough,Adjacent community,City Council,2024,1,Compliant,2024-11-15
Marshfield,marshfield,Adjacent community,Select Board,2024,1,,
Maynard,maynard,Adjacent community,Select Board,2024,1,Compliant,2024-09-12
Medfield,medfield,Adjacent community,Select Board,2024,1,Compliant,2024-07-11
Medford,medford,Rapid Transit,City Council,2023,1,Compliant,2023-12-19
Medway,medway,Adjacent community,Select Board,2024,1,Compliant,2024-11-12
Melrose,melrose,Commuter Rail,City Council,2023,1,Compliant,2025-08-11
Merrimac,merrimac,Adjacent small town,Select Board,2024,1,Compliant,2025-05-19
Methuen,methuen,Adjacent community,City Council,2024,1,Compliant,
Middleborough,middleborough,Commuter Rail,Select Board,2024,1,,
Middleton,middleton,Adjacent community,Select Board,2024,1,,
Millbury,millbury,Adjacent community,Select Board,2024,1,Compliant,2025-07-08
Millis,millis,Adjacent community,Select Board,2024,1,Compliant,2024-06-18
Milton,milton,Rapid Transit,Select Board,2023,1,Compliant,
Nahant,nahant,Adjacent small town,Select Board,2025,1,Compliant,2025-11-05
Natick,natick,Commuter Rail,Select Board,2024,1,Compliant,
Needham,needham,Commuter Rail,Select Board,2025,1,Compliant,2024-08-27
New Bedford,newbedford,Commuter Rail,City Council,2024,0,Compliant,
Newbury,newbury,Adjacent small town,Select Board,2024,1,Compliant,2024-10-04
Newburyport,newburyport,Commuter Rail,City Council,2024,1,Compliant,
Newton,newton,Rapid Transit,City Council,2023,1,Compliant,2024-01-29
Norfolk,norfolk,Commuter Rail,Select Board,2024,1,Compliant,
North Andover,northandover,Adjacent community,Select Board,2024,1,Compliant,2024-08-20
