municipality,year,priority,kind,url,title
Abington,2022,2,townmtg_election,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/pages/glossary_town_meeting_2022_booklet.pdf,
Abington,2022,3,election_page,https://www.abingtonma.gov/article/2936041,Special Election Results
Abington,2022,3,election_page,https://www.abingtonma.gov/page/election-information/,
Abington,2022,3,election_page,https://www.abingtonma.gov/page/town-clerk,Town Clerk
Abington,2023,2,townmtg_election,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4021230/2023_Town_Meeting_Warrant_with_finance_committee_votes_and_town_manager_comments.pdf,2023 Town Meeting article
Abington,2023,3,election_page,https://www.abingtonma.gov/article/2936041,Special Election Results
Abington,2023,3,election_page,https://www.abingtonma.gov/page/election-information/,
Abington,2023,3,election_page,https://www.abingtonma.gov/page/town-clerk,Town Clerk
Abington,2024,2,townmtg_election,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4113595/Abington_Annual_Town_Meeting_Warrant_for_April_1__2024_w_Exhibits.pdf,in depth please review the warrant
Abington,2024,3,election_page,https://www.abingtonma.gov/article/2936041,Special Election Results
Abington,2024,3,election_page,https://www.abingtonma.gov/page/election-information/,
Abington,2024,3,election_page,https://www.abingtonma.gov/page/town-clerk,Town Clerk
Abington,2025,2,townmtg_election,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/5468119/Warrant_for_Annual_Town_Meeting_April_7_2025_TO_BE_POSTED.pdf,Warrant for the 2025 Annual Town Meeting
Abington,2025,3,election_page,https://www.abingtonma.gov/article/2936041,Special Election Results
Abington,2025,3,election_page,https://www.abingtonma.gov/page/election-information/,
Abington,2025,3,election_page,https://www.abingtonma.gov/page/town-clerk,Town Clerk
Acushnet,2021,1,annual_report,https://acushnet.ma.us/ImageRepository/Document?documentID=363,Department / Town Clerk / Town Reports (History) / 2018 / 20
Acushnet,2021,2,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/2730/Town-Meeting-Warrant-May-10-2021-PDF,
Acushnet,2021,3,election_page,https://acushnet.ma.us/1206/Town-Clerk,Town Clerk
Acushnet,2021,3,election_page,https://acushnet.ma.us/1928/2026-Annual-Town-Election-Results,2026 Annual Town Election Results
Acushnet,2024,2,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/1589/Annual-Town-Meeting-Warrant---June-17-2024,
Acushnet,2024,2,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/1595/Special-Fall-Town-Meeting-Warrant---September-30-2024,
Acushnet,2024,3,election_page,https://acushnet.ma.us/1206/Town-Clerk,Town Clerk
Acushnet,2024,3,election_page,https://acushnet.ma.us/1928/2026-Annual-Town-Election-Results,2026 Annual Town Election Results
Acushnet,2025,2,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/1587/Annual-Town-Meeting---Zoning-Articles---June-16-2025,
Acushnet,2025,2,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/1588/Annual-Town-Meeting-Warrant---June-16-2025,
Acushnet,2025,2,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/1592/Special-Fall-Town-Meeting-Warrant---November-3-2025,
Acushnet,2025,2,townmtg_election,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/news/annual_town_election_ballot_warrant_04-22-2025.pdf,
Adams,2024,2,townmtg_election,https://www.town.adams.ma.us/sites/g/files/vyhlif141/f/events/12.10.2024_special_town_meeting_warrent.pdf,
Adams,2024,2,townmtg_election,https://www.town.adams.ma.us/sites/g/files/vyhlif141/f/events/2024_town_election_calendar_0.pdf,
Adams,2024,2,townmtg_election,https://www.town.adams.ma.us/sites/g/files/vyhlif141/f/uploads/2021_-_2024_town_meeting_members.pdf,
Adams,2024,3,election_page,https://iberkshires.com/election,ELECTION
Agawam,2023,1,annual_report,https://agawam.ma.us/DocumentCenter/View/3032/Permit-Year-Six-Annual-Report---Final,"Year Six Annual Report - July 1, 2023 - June 30, 2024"
