municipality,year,status,host,native_url
Boston,2021,HOST_ONLY,boston.gov,https://www.boston.gov/departments/elections/state-and-city-boston-election-results
Boston,2023,HOST_ONLY,boston.gov,https://www.boston.gov/departments/elections/state-and-city-boston-election-results
Boston,2025,HOST_ONLY,boston.gov,https://www.boston.gov/sites/default/files/file/2025/11/2025-Unofficial-Ward-Precinct-Results-General-Municipal-Election.pdf
Springfield,2021,HOST_ONLY,springfield-ma.gov,https://www.springfield-ma.gov/elections/past-elections/november-2-2021-election-results
Springfield,2023,HOST_ONLY,springfield-ma.gov,https://www.springfield-ma.gov/elections/votecounts.php
Springfield,2025,HOST_ONLY,springfield-ma.gov,https://www.springfield-ma.gov/elections/fileadmin/Past_Election_Results/November_4__2025_Precinct_Breakdown.pdf
Cambridge,2025,HOST_ONLY,cambridgema.gov,https://www.cambridgema.gov/Departments/electioncommission/news/2025/11/2025municipalelectionofficialresultsnovember14thupdate
Quincy,2023,HOST_ONLY,cms7files1.revize.com,https://cms7files1.revize.com/quincyma/Document%20Center/Government/City%20Clerk/Election/Election%20Results%202005-Present/November_7_2023%20Election%20Results%20V2.pdf
Quincy,2025,HOST_ONLY,quincyma.gov,https://www.quincyma.gov/departments/city_clerk/election/election_results.php
Lynn,2021,HOST_ONLY,lynnma.gov,https://www.lynnma.gov/common/pages/GetFile.ashx?key=q38CAFaA
Lynn,2025,HOST_ONLY,lynnma.gov,https://www.lynnma.gov/common/pages/GetFile.ashx?key=s6cEAEhY
New Bedford,2025,HOST_ONLY,newbedford-ma.s3.amazonaws.com,https://newbedford-ma.s3.amazonaws.com/wp-content/uploads/20251107134056/DOC1106251.pdf
Fall River,2025,HOST_ONLY,cms2.revize.com,https://cms2.revize.com/revize/fallriver/Document%20Center/Departments/Elections/Election%20Results/2025%20Biennial%20Municipal%20Election-Unofficial%20Election%20Results.pdf?t=202511061534240&t=202511061534240
Lawrence,2025,HOST_ONLY,cityoflawrence.com,https://www.cityoflawrence.com/DocumentCenter/View/51303/OFFICIAL-RESULTS-FOR-NOVEMBER-4-2025
Newton,2023,HOST_ONLY,newtonma.gov,https://www.newtonma.gov/government/elections/election-results/-folder-1809#docfold_5503_407_314_1809
Somerville,2023,HOST_ONLY,s3.amazonaws.com,https://s3.amazonaws.com/somervillema-live/s3fs-public/11-07-2023-official-election-results.pdf
Somerville,2025,HOST_ONLY,s3.amazonaws.com,https://s3.amazonaws.com/somervillema-live/s3fs-public/election-totals-20251104.pdf
Framingham,2021,HOST_ONLY,framinghamma.gov,https://www.framinghamma.gov/DocumentCenter/View/44049/Official-Results-110221-v2?bidId=
Framingham,2023,HOST_ONLY,framinghamma.gov,https://framinghamma.gov/DocumentCenter/View/50979/Official-Results--110723
Malden,2025,HOST_ONLY,cityofmalden.org,https://www.cityofmalden.org/DocumentCenter/View/10903/Nov-4-2025-Final-Results-PDF?bidId=
Waltham,2025,HOST_ONLY,city.waltham.ma.us,https://www.city.waltham.ma.us/sites/g/files/vyhlif12301/f/uploads/unofficial_municipal_nov_4_2025.pdf
Medford,2021,HOST_ONLY,resources.finalsite.net,https://resources.finalsite.net/images/v1674676392/medfordmaorg/x35ynludydv647seftk7/2021_MACERTIFIEDSBGNOVEMBER220212021.pdf
Medford,2023,HOST_ONLY,resources.finalsite.net,https://resources.finalsite.net/images/v1702398106/medfordmaorg/caq9ghzsowwtv56j5lzd/20231212102933345.pdf
Medford,2025,HOST_ONLY,resources.finalsite.net,https://resources.finalsite.net/images/v1763049199/medfordmaorg/hlcay8er2il2sc7td8nm/OfficialElectionResults11425.pdf
Chicopee,2025,HOST_ONLY,chicopeema.gov,https://www.chicopeema.gov/DocumentCenter/View/21409/November-4-2025-Municipal-Election--Summary-Report
Methuen,2023,HOST_ONLY,methuen.gov,https://www.methuen.gov/DocumentCenter/View/2254/Municipal-Election-Official-Results---November-7-2023
Methuen,2025,HOST_ONLY,cityofmethuen.net,https://cityofmethuen.net/DocumentCenter/View/4874/Official-Certified-Municipal-Election-Results--11525-PDF
Everett,2021,HOST_ONLY,cityofeverett.com,https://cityofeverett.com/wp-content/uploads/2021/11/2021-Municipal-Election-Results.xlsx
Barnstable,2025,HOST_ONLY,tobweb.town.barnstable.ma.us,https://tobweb.town.barnstable.ma.us/ElectionResults/OFFICIAL%20Results%20Municipal%20Election%20November%204%202025.pdf
Attleboro,2021,HOST_MISSING,wpri.com,https://www.wpri.com/wp-content/uploads/sites/23/2021/11/Attleboro-Municipal-Election-11-2-2021-Unofficial-Results.pdf
Attleboro,2023,HOST_ONLY,cityofattleboro.us,https://www.cityofattleboro.us/DocumentCenter/View/8671/All-Wards-Unofficial-Results
Attleboro,2025,HOST_ONLY,cityofattleboro.us,https://cityofattleboro.us/DocumentCenter/View/13416/Unofficial-Results-20251104-Municipal-Election
Salem,2025,HOST_ONLY,salemma.gov,https://www.salemma.gov/DocumentCenter/View/8243/UNOFFICIAL-ELECTION-RESULTS---CITY-OF-SALEM-BIENNIAL-ELECTION---NOVEMBER-4-2025
Pittsfield,2021,HOST_ONLY,cms2.revize.com,https://cms2.revize.com/revize/pittsfieldma/city_hall/registrar_of_voters_and_elections/docs/11-2-2121%20MUNICIPAL%20ELECTION%20RESULTS.pdf
Leominster,2025,HOST_ONLY,leominster-ma.gov,https://leominster-ma.gov/DocumentCenter/View/
Beverly,2025,HOST_ONLY,beverlyma.gov,https://www.beverlyma.gov/DocumentCenter/View/6843/November-4-2025-Municipal-Election-Unofficial-Result-PDF
Fitchburg,2021,HOST_ONLY,fitchburgma.gov,https://www.fitchburgma.gov/ArchiveCenter/ViewFile/Item/1164
